"","code","ame","ft_participation","people_aged_16","percent_ft_participation","Col6","number","ASR_per_100","SR","Sig.","aboriginal_population","total_population","percent_abo_population","children_dev_vulnerable","children_assessed_in_AEDC","children_dev_vulnerable_percent"
"1",40070,"Adelaide (C)",64,77,83.1,NA,1818,11.7,34,"**",367,23176,1.6,13,83,15.7
"2",40120,"Adelaide Hills (DC)",551,616,89.4,NA,7020,21.1,62,"**",261,40137,0.7,23,411,5.6
"3",40220,"Alexandrina (DC)",238,301,79.1,NA,7191,31.5,92,"**",367,25514,1.4,4,185,2.2
"4",40250,"Anangu Pitjantjatjara (AC)",42,52,80.8,NA,1222,80.9,236,"**",2512,2810,89.4,22,45,48.9
"5",40310,"Barossa (DC)",271,301,90,NA,6358,33.4,97,"*",188,23108,0.8,12,264,4.5
"6",40430,"Barunga West (DC)",20,23,87,NA,944,38.1,111,"**",54,2566,2.1,1,24,4.2
"7",40520,"Berri and Barmera (DC)",114,148,77,NA,3548,38.5,112,"**",605,10497,5.8,25,134,18.7
"8",40700,"Burnside (C)",583,631,92.4,NA,5829,15,44,"**",186,44970,0.4,19,450,4.2
"9",40910,"Campbelltown (C)",528,599,88.1,NA,11148,26.4,77,"**",313,51791,0.6,41,535,7.7
"10",41010,"Ceduna (DC)",37,54,68.5,NA,1211,43.8,128,"**",1125,3768,29.9,6,40,15
"11",41060,"Charles Sturt (C)",984,1172,84,NA,26706,29,85,"**",1864,114056,1.6,103,1045,9.9
"12",41140,"Clare and Gilbert Valleys (DC)",97,121,80.2,NA,2484,32.1,94,"**",112,8991,1.2,8,102,7.8
"13",41190,"Cleve (DC)",16,20,80,NA,521,34.6,101,"",12,1748,0.7,1,22,4.5
"14",41330,"Coober Pedy (DC)",12,19,63.2,NA,548,35.3,103,"",402,1833,21.9,6,25,24
"15",41560,"Copper Coast (DC)",117,145,80.7,NA,4983,40.1,117,"**",379,14203,2.7,10,138,7.2
"16",41750,"Elliston (DC)",3,3,100,NA,338,37.8,110,"",25,1070,2.3,NA,NA,NA
"17",41830,"Flinders Ranges (DC)",20,20,100,NA,533,34.1,100,"",225,1639,13.7,1,22,4.5
"18",41960,"Franklin Harbour (DC)",8,5,160,NA,413,36.8,107,"",23,1386,1.7,NA,NA,NA
"19",42030,"Gawler (T)",224,273,82.1,NA,6003,33.7,98,"",435,22618,1.9,15,202,7.4
"20",42110,"Goyder (DC)",51,60,85,NA,1467,37.9,110,"**",89,4272,2.1,1,47,2.1
"21",42250,"Grant (DC)",88,115,76.5,NA,2266,34.4,100,"",139,8447,1.6,5,87,5.7
"22",42600,"Holdfast Bay (C)",339,403,84.1,NA,7208,22,64,"**",234,37264,0.6,16,249,6.4
"23",42750,"Kangaroo Island (DC)",35,46,76.1,NA,1269,31.7,92,"**",62,4613,1.4,2,38,5.3
"24",43080,"Karoonda East Murray (DC)",6,6,100,NA,391,41,119,"**",16,957,1.7,NA,NA,NA
"25",43220,"Kimba (DC)",10,12,83.3,NA,318,32.7,95,"",15,1159,1.3,NA,NA,NA
"26",43360,"Kingston (DC)",23,23,100,NA,817,37.7,110,"**",43,2362,1.8,0,16,0
"27",43650,"Light (RegC)",160,186,86,NA,3604,33.2,97,"",162,15081,1.1,12,188,6.4
"28",43710,"Lower Eyre Peninsula (DC)",66,77,85.7,NA,1350,33.3,97,"",184,5113,3.6,1,59,1.7
"29",43790,"Loxton Waikerie (DC)",133,157,84.7,NA,3944,39.1,114,"**",287,11577,2.5,16,143,11.2
"30",43920,"Mallala (DC)",122,142,85.9,NA,2669,39.3,115,"**",229,8773,2.6,11,89,12.4
"31",44000,"Maralinga Tjarutja (AC)",NA,NA,NA,"..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",44060,"Marion (C)",864,1013,85.3,NA,19211,27,79,"**",1197,89038,1.3,65,805,8.1
"33",44210,"Mid Murray (DC)",74,100,74,NA,2895,36.6,107,"**",196,8209,2.4,14,73,19.2
"34",44340,"Mitcham (C)",786,860,91.4,NA,10651,19.4,57,"**",434,66626,0.7,43,757,5.7
"35",44550,"Mount Barker (DC)",386,452,85.4,NA,6570,27.8,81,"**",335,32362,1,20,354,5.6
"36",44620,"Mount Gambier (C)",278,345,80.6,NA,7719,37.5,109,"**",754,26342,2.9,23,292,7.9
"37",44830,"Mount Remarkable (DC)",38,42,90.5,NA,997,36,104,"",113,2782,4.1,2,28,7.1
"38",45040,"Murray Bridge (RC)",213,277,76.9,NA,6761,40.1,117,"**",1344,20981,6.4,18,233,7.7
"39",45090,"Naracoorte and Lucindale (DC)",72,96,75,NA,2444,36,105,"*",155,8472,1.8,6,130,4.6
"40",45120,"Northern Areas (DC)",54,66,81.8,NA,1446,34.9,102,"",90,4568,2,1,50,2
"41",45290,"Norwood Payneham St Peters (C)",368,421,87.4,NA,6213,20.7,60,"**",244,37280,0.7,20,310,6.5
"42",45340,"Onkaparinga (C)",1859,2254,82.5,NA,40245,30.7,90,"**",2812,168907,1.7,141,1806,7.8
